site,mental_health,incredible,coping,triplep
childline.org.uk.txtdf,119,0,0,0
cpchalifax.org.uk.txtdf,0,0,0,0
discvol.org.uk.txtdf,102,0,0,0
healthyyoungmindspennine.nhs.uk.txtdf,50,0,0,0
interchangesheffield.org.uk.txtdf,105,0,0,0
kidstimefoundation.org.txtdf,101,0,0,0
middlesbroughandstocktonmind.org.uk.txtdf,2432,0,0,0
ne.org.uk.txtdf,1,0,0,0
otrtwickenham.com.txtdf,28,0,0,0
psspeople.com.txtdf,107,0,0,0
southendcarers.co.uk.txtdf,8,0,0,0
sussexcommunity.org.uk.txtdf,7,0,0,0
swingsandsmiles.co.uk.txtdf,0,0,0,0
thewishcentre.org.uk.txtdf,2,0,0,0
ymcadlg.org.txtdf,871,0,0,0
